lead_id,scraped_at,search_query,business_name,category,address,city,state,zip_code,country,phone,website,google_maps_url,place_id,rating,review_count,price_level,emails,additional_phones,business_hours,facebook,twitter,linkedin,instagram,youtube,tiktok,owner_name,owner_title,owner_email,owner_phone,owner_linkedin,team_contacts,additional_contact_methods,pages_scraped,search_enriched,enrichment_status
cbe94f252ca5,2026-01-17T12:38:14.525736,dentist agencies,Healing Dental Care,Dentist,"680 Wilshire Pl # 411, Los Angeles, CA 90005",Los Angeles,CA,90005,US,(213) 738-7077,https://www.healingdentalcarela.com/,https://www.google.com/maps/search/?api=1&query=Healing%20Dental%20Care&query_place_id=ChIJqbrzY3fHwoAR3CFpz1Vpre8,ChIJqbrzY3fHwoAR3CFpz1Vpre8,4.9,361,,"mpark@HealingDentalCareLA.com, info@HealingDentalCareLA.com",,,,,,https://www.instagram.com/healingdentalcare,,,,,,,,,,1,no,success
e7c3045587f4,2026-01-17T12:38:14.525773,dentist agencies,La Canada Smiles Dentistry,Dentist,"2220 Foothill Blvd STE A, La Cañada Flintridge, CA 91011",La Cañada Flintridge,CA,91011,US,(818) 248-1021,https://www.lacanadasmilesdentistry.com/?sc_cid=GBP%3AO%3AGP%3A27%3AOrganic_Search%3AGeneral%3Ana&_vsrefdom=organic_gbp&y_source=1_MTEwMjYzOS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,https://www.google.com/maps/search/?api=1&query=La%20Canada%20Smiles%20Dentistry&query_place_id=ChIJKeD2MT7qwoARpfhO5vg0-S4,ChIJKeD2MT7qwoARpfhO5vg0-S4,4.5,137,,,,,https://www.facebook.com/507360226009969,,,,,,,,,,,,,1,no,partial
83cee0b13690,2026-01-17T12:38:14.525792,dentist agencies,Direct Dental Staffing,Temp agency,"3111 Camino Del Rio N #400, San Diego, CA 92108",San Diego,CA,92108,US,(619) 295-1002,http://directdentalstaffing.com/,https://www.google.com/maps/search/?api=1&query=Direct%20Dental%20Staffing&query_place_id=ChIJw7dVMIdV2YARN4659yhOR2I,ChIJw7dVMIdV2YARN4659yhOR2I,5,73,,info@directdentalstaffing.com,,,https://facebook.com,https://twitter.com,,,,,,,,,,,,1,no,success
2e43603e8eaf,2026-01-17T12:38:14.525806,dentist agencies,Secure Dental Staffing,Temp agency,"13197 Central Ave #201, Chino, CA 91710",Chino,CA,13197,US,(888) 860-4037,https://securedentalstaffing.com/,https://www.google.com/maps/search/?api=1&query=Secure%20Dental%20Staffing&query_place_id=ChIJLxGABXwzw4ARsOh2hrynOJ8,ChIJLxGABXwzw4ARsOh2hrynOJ8,5,40,,"filler@godaddy.com, SecureDentalStaffing@gmail.com, Securedentalstaffing@gmail.com",,,,,,,,,,,,,,,,1,no,success
b43e8960d7aa,2026-01-17T12:38:14.525820,dentist agencies,Descanso Smiles,Pediatric dentist,"1346 Foothill Blvd #305, La Cañada Flintridge, CA 91011",La Cañada Flintridge,CA,91011,US,(818) 790-5959,https://www.pediatricdentistryla.com/?utm_source=google&utm_medium=google_business_profile&utm_campaign=website_click,https://www.google.com/maps/search/?api=1&query=Descanso%20Smiles&query_place_id=ChIJE2z99QLqwoARTpzONWS3FxE,ChIJE2z99QLqwoARTpzONWS3FxE,4.8,107,,"pediatricdentistrydmd@gmail.com, __pediatricdentistrydmd@gmail.com",,,,,,,,,,,,,,,,1,no,success
7af61f28e2ef,2026-01-17T12:38:14.525833,dentist agencies,Cañada Dental Group,Dentist,"1528 Canada Blvd #101, Glendale, CA 91208",Glendale,CA,91208,US,(818) 396-4884,https://www.canadadentalgroup.com/,https://www.google.com/maps/search/?api=1&query=Ca%C3%B1ada%20Dental%20Group&query_place_id=ChIJBffo-5XBwoARu6Wod1pTofw,ChIJBffo-5XBwoARu6Wod1pTofw,5,110,,smile@canadadentalgroup.com,,,https://www.facebook.com/Canada-Dental-Group-154629384565652/,,,,,,,,,,,,,1,no,success
8f7a33b70876,2026-01-17T12:38:14.525845,dentist agencies,One Dental La Cañada,Dentist,"2196 Foothill Blvd Suite C, La Cañada Flintridge, CA 91011",La Cañada Flintridge,CA,91011,US,(818) 248-7344,http://www.onedentallc.com/,https://www.google.com/maps/search/?api=1&query=One%20Dental%20La%20Ca%C3%B1ada&query_place_id=ChIJH1J8Pj7qwoAROmvERgah-Ok,ChIJH1J8Pj7qwoAROmvERgah-Ok,5,145,,info@onedentalbeverlyhills.com,,,https://www.facebook.com/onedentalbh,,,https://www.instagram.com/onedentalbh/?hl=en,,https://www.tiktok.com/@onedentalbeverlyhills,,,,,,,,1,no,success
5c088f6ef081,2026-01-17T12:38:14.525857,dentist agencies,Flintridge Dental Group,Cosmetic dentist,"1035 Foothill Blvd, La Cañada Flintridge, CA 91011",La Cañada Flintridge,CA,91011,US,(818) 952-6000,https://flintridgedentalgroup.com/,https://www.google.com/maps/search/?api=1&query=Flintridge%20Dental%20Group&query_place_id=ChIJzSSrkf7pwoAR6vygUFi5aHc,ChIJzSSrkf7pwoAR6vygUFi5aHc,4.9,210,,,,,https://www.facebook.com/smile1035,https://twitter.com/Fdentalgroup,https://www.linkedin.com/in/dr-azin-rezaei-680a8238/ ,https://www.instagram.com/flintridgedentalgroup/,,,,,,,,,,1,no,partial
af62233af359,2026-01-17T12:38:14.525869,dentist agencies,Dental Staff On Call Inc,Employment agency,"1900 Camden Ave, San Jose, CA 95124",San Jose,CA,95124,US,(408) 267-2255,https://www.dentalstaffoncall.com/,https://www.google.com/maps/search/?api=1&query=Dental%20Staff%20On%20Call%20Inc&query_place_id=ChIJIxW1km8zjoARwLOBonNBlTk,ChIJIxW1km8zjoARwLOBonNBlTk,5,2,,,,,,,,,,,,,,,,,,0,no,"error: Client error '403 Forbidden' for url 'https://www.dentalstaffoncall.com/'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/403"
a86a89f5e404,2026-01-17T12:38:14.525880,dentist agencies,Western Dental & Orthodontics Kids,Pediatric dentist,"2700 Colorado Blvd Ste 263, Los Angeles, CA 90041",Los Angeles,CA,90041,US,(323) 987-2175,https://www.westerndental.com/en-us/find-a-location/california/eagle-rock/2700-colorado-blvd/?utm_source=GMB&utm_medium=organic,https://www.google.com/maps/search/?api=1&query=Western%20Dental%20%26%20Orthodontics%20Kids&query_place_id=ChIJ9TEJU2zBwoARmx09FP6dULs,ChIJ9TEJU2zBwoARmx09FP6dULs,4.2,182,,,,,https://www.facebook.com/WesternDental/,,,https://www.instagram.com/westerndental/,https://www.youtube.com/westerndental,,,,,,,,,1,no,partial
